사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자차종,가해운전자성별,가해운전자연령,가해운전자상해정도
2023010100100239,2023년 1월 1일 17시,일요일,서울특별시 금천구 시흥동,중상사고,0,2,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,56세,경상
2023010100100284,2023년 1월 1일 19시,일요일,서울특별시 금천구 가산동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,60세,상해없음
2023010200100075,2023년 1월 2일 09시,월요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,47세,상해없음
2023010300100414,2023년 1월 3일 19시,화요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차량단독 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,63세,상해없음
2023010300100444,2023년 1월 3일 20시,화요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,38세,기타불명
2023010300100502,2023년 1월 3일 23시,화요일,서울특별시 금천구 독산동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,20세 이하,부상신고
2023010400100048,2023년 1월 4일 07시,수요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,30세,상해없음
2023010400100180,2023년 1월 4일 12시,수요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음
2023010400100272,2023년 1월 4일 15시,수요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,68세,상해없음
2023010400100329,2023년 1월 4일 17시,수요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명
2023010500100028,2023년 1월 5일 05시,목요일,서울특별시 금천구 독산동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음
2023010500100213,2023년 1월 5일 13시,목요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음
2023010500100248,2023년 1월 5일 14시,목요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,50세,상해없음
2023010500100330,2023년 1월 5일 17시,목요일,서울특별시 금천구 가산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,79세,상해없음
2023010500100367,2023년 1월 5일 18시,목요일,서울특별시 금천구 시흥동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,53세,중상
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,67세,부상신고
2023010600100407,2023년 1월 6일 18시,금요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,55세,상해없음
2023010600100589,2023년 1월 6일 23시,금요일,서울특별시 금천구 가산동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,기타 - 기타,승용,남,74세,경상
2023010700100024,2023년 1월 7일 01시,토요일,서울특별시 금천구 가산동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음
2023010700100149,2023년 1월 7일 11시,토요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음
2023010800100223,2023년 1월 8일 17시,일요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,기타불명
2023010800100321,2023년 1월 8일 21시,일요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,40세,상해없음
2023010900100157,2023년 1월 9일 11시,월요일,서울특별시 금천구 독산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,맑음,교차로 - 교차로안,화물,남,45세,상해없음
2023010900100229,2023년 1월 9일 14시,월요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음
2023011000100002,2023년 1월 10일 00시,화요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,원동기,남,39세,상해없음
2023011100100096,2023년 1월 11일 08시,수요일,서울특별시 금천구 독산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음
2023011100100285,2023년 1월 11일 14시,수요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,흐림,교차로 - 교차로안,승합,남,69세,상해없음
2023011100100286,2023년 1월 11일 14시,수요일,서울특별시 금천구 독산동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,원동기,여,46세,상해없음
2023011100100409,2023년 1월 11일 18시,수요일,서울특별시 금천구 시흥동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승합,남,53세,상해없음
