discount_rate,link,original_price,sales_price,title
0.0%,http://item.gmarket.co.kr/Item?goodscode=1840147374&ver=637304491696254929,50000,50000,[한국투자증권] (한국투자증권) 온라인 금융상품권 5만원권 
21.0%,http://item.gmarket.co.kr/Item?goodscode=1516002555&ver=637304491696254929,10700,8500,[애경] 주방세제 순샘 대용량 3L x2개(라임1베리1) 
70.0%,http://item.gmarket.co.kr/Item?goodscode=1725467202&ver=637304491696254929,19600,5900,루나샵 15일딱하루 5900원~티셔츠/원피스/박스티/롱티 
2.0%,http://item.gmarket.co.kr/Item?goodscode=1786479054&ver=637304491696254929,60900,59900,오플 BBQ 통살닭다리구이 소금구이맛 10팩 + 매콤양념맛 10팩 
70.0%,http://item.gmarket.co.kr/Item?goodscode=215673140&ver=637304491696254929,23000,6900,스위트바니 여름신상5900원~롱원피스/티셔츠/박스티 
60.0%,http://item.gmarket.co.kr/Item?goodscode=884451980&ver=637304491696254929,37300,14900,[구운감자] 해태 구운감자 24g 30개 과자 간식 한박스 오늘만 할인 
8.0%,http://item.gmarket.co.kr/Item?goodscode=1704892603&ver=637304491696254929,119000,109000,락토핏   프롤린유산균  종근당건강  생유산균 코어 (2 000mg 60포 6통  약 1 
37.0%,http://item.gmarket.co.kr/Item?goodscode=1791746014&ver=637304491696254929,23600,14900,[유한킴벌리] 크리넥스 펭수뽑아쓰는키친타월 140매X4입X2팩 
5.0%,http://item.gmarket.co.kr/Item?goodscode=1844715501&ver=637304491696254929,43900,41710,kf94 마스크 블랙 대형 합리적인 비말차단 국내산 40매 
70.0%,http://item.gmarket.co.kr/Item?goodscode=818391700&ver=637304491696254929,26000,7900,[라벨영] 빵꾸솝 쿨버전 비누 1+1/모공축소+블랙헤드+피지 제거 
discount_rate,link,original_price,sales_price,title
0.0%,http://item.gmarket.co.kr/Item?goodscode=1840147374&ver=637304504095860327,50000,50000,[한국투자증권] (한국투자증권) 온라인 금융상품권 5만원권 
70.0%,http://item.gmarket.co.kr/Item?goodscode=1725467202&ver=637304504095860327,19600,5900,루나샵 15일딱하루 5900원~티셔츠/원피스/박스티/롱티 
2.0%,http://item.gmarket.co.kr/Item?goodscode=1786479054&ver=637304504095860327,60900,59900,오플 BBQ 통살닭다리구이 소금구이맛 10팩 + 매콤양념맛 10팩 
21.0%,http://item.gmarket.co.kr/Item?goodscode=1516002555&ver=637304504095860327,10700,8500,[애경] 주방세제 순샘 대용량 3L x2개(라임1베리1) 
60.0%,http://item.gmarket.co.kr/Item?goodscode=884451980&ver=637304504095860327,37300,14900,[구운감자] 해태 구운감자 24g 30개 과자 간식 한박스 오늘만 할인 
70.0%,http://item.gmarket.co.kr/Item?goodscode=215673140&ver=637304504095860327,23000,6900,스위트바니 여름신상5900원~롱원피스/티셔츠/박스티 
5.0%,http://item.gmarket.co.kr/Item?goodscode=1844715501&ver=637304504095860327,43900,41710,kf94 마스크 블랙 대형 합리적인 비말차단 국내산 40매 
8.0%,http://item.gmarket.co.kr/Item?goodscode=1704892603&ver=637304504095860327,119000,109000,락토핏   프롤린유산균  종근당건강  생유산균 코어 (2 000mg 60포 6통  약 1 
37.0%,http://item.gmarket.co.kr/Item?goodscode=1791746014&ver=637304504095860327,23600,14900,[유한킴벌리] 크리넥스 펭수뽑아쓰는키친타월 140매X4입X2팩 
70.0%,http://item.gmarket.co.kr/Item?goodscode=818391700&ver=637304504095860327,26000,7900,[라벨영] 빵꾸솝 쿨버전 비누 1+1/모공축소+블랙헤드+피지 제거 
discount_rate,link,original_price,sales_price,title
0.0%,http://item.gmarket.co.kr/Item?goodscode=1840147374&ver=637304504823581022,50000,50000,[한국투자증권] (한국투자증권) 온라인 금융상품권 5만원권 
2.0%,http://item.gmarket.co.kr/Item?goodscode=1786479054&ver=637304504823581022,60900,59900,오플 BBQ 통살닭다리구이 소금구이맛 10팩 + 매콤양념맛 10팩 
