item_link,item_name,item_price
/vp/products/1241557672?itemId=2237288889&vendorItemId=70234797389&sourceType=srp_product_ads,"닥터키토 방탄커피, 13g, 10개","15,500"
/vp/products/6683338?itemId=401944&vendorItemId=71030128009,"맥심 모카골드 마일드 커피믹스, 12g, 160개","16,270"
/vp/products/222491219?itemId=697494678&vendorItemId=4781550652,"스타벅스 대용량 카페 라떼, 270ml, 10개","16,440"
/vp/products/186389921?itemId=532901881&vendorItemId=4388707114&pickType=COU_PICK,"곰곰 쓰지않고 부드러운 아메리카노 다크로스트, 1g, 100개입","9,720"
/vp/products/226340360?itemId=768744833&vendorItemId=4940851752&sourceType=srp_product_ads,"마이노멀푸드 마이노멀 버터커피, 230ml, 24개","53,780"
/vp/products/1542950470?itemId=2642208168&vendorItemId=70911830765&sourceType=srp_product_ads,"키토제닉라이프스타일 데일리키토 방탄 원두커피믹스, 14포, 10g","9,800"
/vp/products/13577631?itemId=56661035&vendorItemId=3007019731,"G7 블랙 퓨어블랙 인스턴트커피, 2g, 100개","7,300"
/vp/products/1111686093?itemId=2075095532&vendorItemId=70074216188,"곰곰 헤이즐넛아메리카노 원두커피믹스, 1g, 100개입","9,170"
/vp/products/227583670?itemId=721037579&vendorItemId=4824189220&sourceType=srp_product_ads,"헬로모닝 핸드드립백 커피세트, 얼리버드 5p + 에프터런치 5p + 컴백홈 5p + 캄다운 5p + 오버타임 5p + 슈퍼파워 5p, 1세트","15,050"
/vp/products/88929442?itemId=278017749&vendorItemId=3675570678,"프렌치카페 카페오레 커피음료, 200ml, 10개","7,860"
/vp/products/1786711232?itemId=3042075337&vendorItemId=71030128057,"맥심 화이트 골드 커피믹스, 11.7g, 160개","15,920"
/vp/products/982252?itemId=391833&vendorItemId=3000300361,"비니스트 오리지널 아메리카노 원두커피믹스, 1g, 130개","16,240"
/vp/products/1111686111?itemId=2075095549&vendorItemId=70074216195,"곰곰 달지않은 카페라떼 시그니처, 15g, 50개입","9,780"
/vp/products/179792576?itemId=514871878&vendorItemId=4326010075,"카누 미니 마일드 로스트 아메리카노, 0.9g, 90개","14,010"
/vp/products/1301524802?itemId=2315369893&vendorItemId=70312101164,"아카페라 바닐라라떼, 240ml, 20개","13,020"
/vp/products/2758504?itemId=60071&vendorItemId=3000025309,"프렌치카페 카페믹스, 10.9g, 100개","8,140"
/vp/products/175304810?itemId=501122702&vendorItemId=4278242265,"프렌치카페 카페믹스, 10.9g, 210개","15,660"
/vp/products/2731387?itemId=159706690&vendorItemId=3375395073,"레쓰비 마일드 커피, 160ml, 30개입","8,720"
/vp/products/222174821?itemId=695657695&vendorItemId=4778260987,"쟈뎅 시그니처 로얄 헤이즐넛 커피음료, 1.1L, 6개","12,290"
/vp/products/284752870?itemId=903706392&vendorItemId=5264393181,"매일유업 바리스타룰스 싱글오리진 코스타리카 커피, 330ml, 12개","11,800"
/vp/products/49857683?itemId=175923412&vendorItemId=3420650781,"프렌치카페 로스터리 옐로우 버번 돌체 라떼, 250ml, 10개","9,110"
/vp/products/189670272?itemId=541762067&vendorItemId=4417396947,"맥심 모카골드 마일드 커피믹스 12g x 320p + 화이트골드 커피믹스 11.7g x 20p, 1세트","36,200"
/vp/products/237893988?itemId=753636469&vendorItemId=3000249420,"네스카페 수프리모 리필 커피, 1개","5,490"
/vp/products/189263141?itemId=40080626&vendorItemId=3063641674,"쟈뎅 로얄 헤이즐넛 콜롬비아 수프리모 커피, 1g, 100개","9,760"
/vp/products/1384158659?itemId=2418851396&vendorItemId=70413056523,"커피가 생각날땐 시바 아메리카노, 350ml, 8병","7,920"
