상품명,상세페이지링크,가격
"삼성전자 노트북 Plus NT550XCJ-K34WA 퓨어 화이트 (i3-10110U 39.6cm), NVMe 256GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1548410295?itemId=2650310203&vendorItemId=70641158620&sourceType=srp_product_ads,849000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1149803634?itemId=2123503405&vendorItemId=70122096043,449000
"아이뮤즈 노트북 STORMBOOK (N3350 35.8cm WIN10 Graphics 500) + MS오피스, 포함, eMMC 64GB, 4GB",https://www.coupang.com/vp/products/1348981530?itemId=2376867898&vendorItemId=70372433503,264620
"LG전자 2019 울트라 PC 노트북 15U490-GR36K 퓨어 화이트 (R3-2300U 39.6cm), SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1662958560?itemId=902674367&vendorItemId=5270923865,639000
"애니키 F8 접이식 노트북 거치대, 단일상품",https://www.coupang.com/vp/products/1807089733?itemId=3074777883&vendorItemId=71062658339&sourceType=srp_product_ads,16000
"Xnote 15U560 6세대 i5탑재 온라인 수업 지포스 GT940M 윈도우10 업그레이드, 8GB, SSD 256GB, Windows 10",https://www.coupang.com/vp/products/1073826234?itemId=2023156495&vendorItemId=70022804660&sourceType=srp_product_ads,649000
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm WIN미포함), 미포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1676672325?itemId=2856499922&vendorItemId=70845799284,459000
"LG전자 2020년 그램17 노트북 17ZD90N-VX5BK (i5-1035G7 43.1cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1098837642?itemId=2057725149&vendorItemId=70056999452,1530400
"[신세계TV쇼핑][삼성] 갤럭시 북 Flex [NT950QCG-XF58S], 단일상품, 단일상품, 단일상품",https://www.coupang.com/vp/products/1551525897?itemId=2654598562&vendorItemId=70645292464&sourceType=srp_product_ads,2389800
"디클 클릭북 노트북 D141+ IPS (Atom-Z8350F 35.6cm eMMC 32G), 2GB, WIN10S, 화이트",https://www.coupang.com/vp/products/1214484733?itemId=101580567&vendorItemId=3189257704,229000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB, 4GB, Win10 S",https://www.coupang.com/vp/products/1149803634?itemId=2023248867&vendorItemId=70022894899,389300
"삼성 노트북 코어i5 SSD128G 지포스탑재 NT200B5B 블랙, 8GB, SSD256G, 윈도우10",https://www.coupang.com/vp/products/1681782369?itemId=2864761058&vendorItemId=70854002042,349000
"에이수스 비보북 15 라이젠 노트북 X512DA-CP473T 슬레이트 그레이 (WIN10 Home 39.6cm RAM 4GB), R3-3200U, SSD 128GB, Vega 3 Graphics",https://www.coupang.com/vp/products/1473554077?itemId=2532637388&vendorItemId=70525387531,519000
"HP 노트북 스노우화이트 15s-eq0138AU (라이젠5-3500U 39.6cm WIN미포함 RX Vega 8), 미포함, 512GB SSD, 8GB",https://www.coupang.com/vp/products/1688097342?itemId=2875073528&vendorItemId=70864234759,560000
"Apple 2020 맥북 에어 13, Space gray, 10세대 i3-1.1GHz dual-core, SSD 256GB, 8GB",https://www.coupang.com/vp/products/1395425733?itemId=2430730742&vendorItemId=70424683916&pickType=COU_PICK,1219490
