comment,movie_link,movie_title,num,score
역시 믿고보는 배우 황정민 이정재 박정민,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037912,10
"연기 지린다... 스타일리쉬한 연촐, 빠져든다..",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037911,10
아 강동원  존잘이다 진짜,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037910,10
정치색안경 좀 끼고 보지마라...영화는 영화일뿐,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037909,8
아 진짜 정말 너무재밌어요 2시간이 2분마냥 훅가버리고 배우분들 연기는 진짜 말도 안나오고 너무 다들 귀여우세요 마지막에 끝나고 나오는거 볼때도 너무 좋았어요ㅠ 넣어주셔서 감사합니다 진짜 끝난거의 아쉬움을 조금이나마 달랬고 그리고 키싱부스1도 재밌게봤는데 저는 2가 더 재밌었던거 같아요 아니ㅜ그냥 뭐가 더 재밌다 할거없ㅇㅣ 다 진짜 너무 재밌옸고 3너무 기대되고 스토리 너무좋ㄱ옹 연출 연기 영상미 OST 너무좋아요 제가 원래 봤던 영화는 두번다시 안보는데 이건 이따가 또 봐야겠여요 배우분들 잘 연기해주셔서 너무 감사하고 감독님 그리고 이작품에 기여해주신 분들 너무감시해요ㅠ 시험망쳤었는데 기분이 확 풀렸고 볼때 짖짜 가슴이 쿵쾅대고 너무 달달해서 티비에서 꿀이나오는줄 알았어요 진짜 너무 재밌게봤어요 ㅠ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184520&target=after,키싱 부스 2,17037908,10
이정재는 결국 황정민의 모든것이었던것을 죽여냈고황정민의 모든것이 된것을 죽여내지못했네요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037907,9
너무 재밌었어요ㅠㅠㅠ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,반도,17037906,10
테이큰으로 시작해서 아저씨로 가다가 레옹으로 마무리.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037905,1
동석이 행님은 문막다가 손가락 앙하고 물려서 훅가셨는데 여기 주인공분들은 뭐.... 할말이 없네.,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,#살아있다,17037904,1
강철비2 절대 보지마세요~ 좌빨문화인 쓰레기들의 문재앙 김돼지 빨기 영화~토착빨갱이 라도출신 중졸 정우성이 뭘 안다고 정치발언이랍씨고 요즘 엄청 꼴깞 떠는대~토착빨갱이 절라도들 304050개돼지들만 좋아할 쓰레기 영화~,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037903,10
"연기가 영화를 살리네,한번쯤 보는것도 괜찮을듯",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037822,8
이렇게 재밋을줄 몰랐는데 진짜 재밌게 보고 왔어요,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037821,10
그간 느와르가 평가절하되는 경향이 있었는데 이건 완벽핬다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037820,10
영화 너무 잘봤습니다 감사합니다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037819,10
이런 삶과 사랑이라면....,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=18003&target=after,잉글리쉬 페이션트,17037818,10
간만에 심장 쫄깃했던 영화. 집에 비상식량 쌓아놔야되나,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,#살아있다,17037817,10
옛날 이홍렬씨의 귀곡산장 영화편....ㅡㅡ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=130765&target=after,함정,17037815,2
코로나로 인해 극장가가 한산했는데 활기를 찾게 될것 같은 영화~!,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037816,10
시즌1을 보면 시즌2는 꼭 보게 만드네요 무심코 봤는데 재밌습니다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184520&target=after,키싱 부스 2,17037814,10
황정민이랑 이정재 믿고보는 영화였는데 만족한 연기는 박정민ㅋㅋㅋ,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189069&target=after,다만 악에서 구하소서,17037813,10
친일파들이 싫어할 영화,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,강철비2: 정상회담,17037832,10
