username,link,mention,tweet_date,tweet_time,retweets,favorites,mentions
14days_c,https://twitter.com/14days_c/status/1178459405190197248,"* 성헌 「예빈한테서 문자가 왔다네. 『감기라면서요, 괜찮으세요? 저 선생님이 걱정돼서 8시간 정도밖에 못 잤어요』라고 말이지. 그런데 예빈, 8시간이라면 숙면이라네」",2019-09-29,23:59:51,0,0,
J_jin0420,https://twitter.com/J_jin0420/status/1178459336445706240,朝は寒いね... 감기 걸렸다((쿨쩍)),2019-09-29,23:59:35,0,0,
gyogyo_hjj,https://twitter.com/gyogyo_hjj/status/1178459315247542272,오늘아침 코 안막혀서 감기나앗나??!? 응아냐 ~,2019-09-29,23:59:30,0,0,
mireu_grace,https://twitter.com/mireu_grace/status/1178459289763008512,아 감기걸릴걸ㅠ,2019-09-29,23:59:24,0,2,
Chaming_Rin,https://twitter.com/Chaming_Rin/status/1178459263791841280,"아,아니옵니다...! 감기는 나았사와요...!",2019-09-29,23:59:17,0,0,
Han_seo_jin,https://twitter.com/Han_seo_jin/status/1178459159987015681,날씨가 선선해. 꽤 마음에 드는 데 말이지. 그래도 일교차가 심하니까 옷은 잘 챙겨 입어라. 감기 같은거 걸리지 말고..,2019-09-29,23:58:53,0,0,
dbs6718240,https://twitter.com/dbs6718240/status/1178459155226488832,생리 사유서 미리 쓰지 말걸....... 아근데 나왜 월경안하냐...... 조만간인가? 아안돼 감기+월경 걸리면 죽음뿐이다,2019-09-29,23:58:51,0,1,
SUSO_0218,https://twitter.com/SUSO_0218/status/1178459027728023557,아ㅠ 이븐밈도 감기시나요?ㅠ,2019-09-29,23:58:21,0,0,
cherry_9993,https://twitter.com/cherry_9993/status/1178458941874819072,아니 왤케 추워 ㅋㅋㅋ 오늘 감기 확정인거같은데???,2019-09-29,23:58:01,0,0,
brainsarione,https://twitter.com/brainsarione/status/1178458906730758144,갓성비 오지는 편의점 콜드브루라떼를 사서 마시고 있는데 왜 애들 먹는 감기약 맛이 나.. 안 그래도 감기기운 있는데 또 우찌 알고.. 가난하면 원효대사 해골물도 땡큐야..,2019-09-29,23:57:52,0,0,
sioh_sns,https://twitter.com/sioh_sns/status/1178458886753226753,쫀아입니다요..! 어제보다 감기가 심해져서 조퇴...,2019-09-29,23:57:47,0,1,
GyeongvelyU,https://twitter.com/GyeongvelyU/status/1178458754662027264,"난 오늘두 지각 아항항~ 일찍가면 약국가서 기침감기약좀 사먹을랬더니 늦은김에 약국들러야징,,,,초콜릿 옆에두고 당충전해 자갸....월요일 기력을위해...☆ pic.twitter.com/q7ng6n39Oz",2019-09-29,23:57:16,0,0,
Yula_aluY,https://twitter.com/Yula_aluY/status/1178458753894498304,나도ㅠㅠㅠㅠ 계속 눈이 감기고 있어....3ㅁ3,2019-09-29,23:57:16,0,0,
Alysha_Winslet_,https://twitter.com/Alysha_Winslet_/status/1178458733526966272,오랜만이네. 그동안 무슨 일이라도 있었니? ...감기에 걸려서 안 왔다고..?,2019-09-29,23:57:11,0,0,
Letterbee_Ran,https://twitter.com/Letterbee_Ran/status/1178458675880415232,사아실 전 아침에 추워서 외투 챙겼죠! 이미 감기로 조금 괴로워서...아하하.... 전 늦었고 선배라도 조심하세요! 전 약 꼬박꼬박 챙겨먹을께요.,2019-09-29,23:56:57,0,0,
repeat797,https://twitter.com/repeat797/status/1178458673569386499,감기가 넘 오래가네요 ㅜㅜ 넘 힘드셨겠구 ㅜㅜ 타운센드 ㅋㅋㅋㅋㅋㅋ 보면서 회복하세요 TTㅋㅋㅋ,2019-09-29,23:56:57,0,2,
lyra_1955,https://twitter.com/lyra_1955/status/1178458626060476416,감기 조심하십시오. 날이 많이 춥습니다.,2019-09-29,23:56:45,0,0,
anzinne,https://twitter.com/anzinne/status/1178458394639781888,장뇌삼이 효과 있습니까? 한 뿌리 억으면 감기가 안 걸린다는데요.,2019-09-29,23:55:50,2,1,
Dajuu_613,https://twitter.com/Dajuu_613/status/1178458321944100864,"늦었지만 다들 학교 , 직장 잘 다녀오셔요 저는 감기때문에 병원갑니당 ㅠ ㅠ",2019-09-29,23:55:33,0,2,
BTS_V_1230lov,https://twitter.com/BTS_V_1230lov/status/1178458228494983168,퐁당님 둥이님 스피드님 방모닝입니다 편안한 밤 보내셨나요? 오늘 아침 많이 쌀쌀하네요훌쩍~모두 감기조심하세요 오늘 하루도 으쌰으쌰 화이팅 방탄소년단 아미 #PCAs #TheConcertTour #LoveYourselfSpeakYourself @BTS_twt,2019-09-29,23:55:11,2,1,@BTS_twt
chani_life,https://twitter.com/chani_life/status/1178458202511294465,감기기운때문에 자습시간 끝나자마자 바로 조퇴해서 병원왔는데 아홉시부터 진료시작이래 진짜 ㅜㅜㅜㅜ,2019-09-29,23:55:04,0,0,
sseungah74,https://twitter.com/sseungah74/status/1178458083695058944,비수기라녀ㅋㅋㅋ 예뿌기만하더구만여ㅋㅋㅋㅋㅋㅋㅋ 코시때까지 아직 야구장 기회는 많으니 꼭 인사해여ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지호도 이 랜선이모에게 감기게해주마!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2019-09-29,23:54:36,0,0,
An_0430,https://twitter.com/An_0430/status/1178458016686829568,감기야발ㄹ,2019-09-29,23:54:20,0,0,
or_chemi_,https://twitter.com/or_chemi_/status/1178458000832352259,걍 감긴데 쫌 심해져서 왓지,2019-09-29,23:54:16,0,0,
or_chemi_,https://twitter.com/or_chemi_/status/1178457979210780672,감기 안걸렷는데도 감기약 백알씩 먹는 우리 흥철이... 니가 감기에 걸려봐야알지...아냐 아프지마흥철아 pic.twitter.com/7GrrW6MPrD,2019-09-29,23:54:11,0,3,
mote_luv,https://twitter.com/mote_luv/status/1178457800621481984,Damn.삭발해야하나 머리 감기 구찮다(당연히 오늘도 지각,2019-09-29,23:53:29,0,2,
M4K0T0_Flower,https://twitter.com/M4K0T0_Flower/status/1178457704941015041,"오늘은 뭔가, 아침 부터 추운거 같아. 이런 날씨 일수록 감기는 조심 해야 하니까...! 아이돌 이니까, 몸관리는 제대로 하지 않으면 힘들거 같아... 모두에게 짐이 되고 싶지 않아.",2019-09-29,23:53:06,0,0,
BoRami0429,https://twitter.com/BoRami0429/status/1178457695336026112,@taeccool 벌써 10월이네욥.. 9월 마지막 날도 잘 보내고 감기 조심,2019-09-29,23:53:03,0,0,@taeccool
swampnewind,https://twitter.com/swampnewind/status/1178457641044955136,감기걸렷자나 몸좀챙겨 ㅠ...,2019-09-29,23:52:50,0,0,
Siro__APTX4869,https://twitter.com/Siro__APTX4869/status/1178457507364163586,넘 화나요 분명 괜찮게 입고 다니는데 걸리는 감기...,2019-09-29,23:52:19,0,1,
ABN_FFXIV,https://twitter.com/ABN_FFXIV/status/1178457480642252800,ㅇㅏ흐흑죽여줘 감기따위 걸리지 않는 강한 인간이엇는데,2019-09-29,23:52:12,0,1,
Siro__APTX4869,https://twitter.com/Siro__APTX4869/status/1178457313763479552,"저 근데 감기 엄청 자주 걸려서 ㅋㄱㅋㄱㅋ,, 막 계절 바뀔때마다 기본 한번씩은 걸려요,,,,",2019-09-29,23:51:32,0,0,
ramrps_5255,https://twitter.com/ramrps_5255/status/1178457252996403200,저어어는....생리통........죽여달라........네티님 감기.........................?,2019-09-29,23:51:18,0,1,
